filename;lang;lang_proba
'598.txt';'en';'[en:0.999996799058884]'
'201.txt';'en';'[en:0.999996645470889]'
'215.txt';'en';'[en:0.9999957167858389]'
'229.txt';'en';'[en:0.9999976112912481]'
'76.txt';'en';'[en:0.9999977123186199]'
'188.txt';'en';'[en:0.9999934209032403]'
'62.txt';'en';'[en:0.999997480447503]'
'89.txt';'en';'[en:0.9999966224090493]'
'611.txt';'en';'[en:0.9999953747521585]'
'177.txt';'en';'[en:0.9999971070569449]'
'163.txt';'en';'[en:0.9999962582945002]'
'605.txt';'en';'[en:0.9999971223498845]'
'639.txt';'en';'[en:0.9999979343468532]'
'375.txt';'en';'[en:0.9999971991083763]'
'413.txt';'en';'[en:0.9999981509045374]'
'407.txt';'en';'[en:0.9999963033059395]'
'361.txt';'en';'[en:0.9999974322983953]'
'349.txt';'en';'[en:0.9999972651852028]'
'348.txt';'en';'[en:0.9999968214419451]'
'406.txt';'en';'[en:0.9999971441519769]'
'360.txt';'en';'[en:0.9999977229922782]'
'374.txt';'en';'[en:0.9999968484575633]'
'412.txt';'en';'[en:0.9999961171109067]'
'162.txt';'en';'[en:0.9999956295943704]'
'604.txt';'en';'[en:0.9999960166932746]'
'88.txt';'en';'[en:0.9999971663712783]'
'176.txt';'fr';'[fr:0.9999958486485832]'
'63.txt';'en';'[en:0.9999981389651229]'
'77.txt';'en';'[en:0.9999978682050973]'
'189.txt';'en';'[en:0.9999963098818059]'
'228.txt';'en';'[en:0.9999968054080174]'
'572.txt';'en';'[en:0.9999960792376515]'
'214.txt';'en';'[en:0.9999981522136715]'
'200.txt';'en';'[en:0.9999970818097471]'
'599.txt';'en';'[en:0.9999961878949738]'
'216.txt';'en';'[en:0.9999970874656681]'
'570.txt';'en';'[en:0.9999963889846424]'
'564.txt';'en';'[en:0.9999948874287419]'
'202.txt';'en';'[en:0.9999965983877637]'
'49.txt';'en';'[en:0.9999969441067397]'
'61.txt';'de';'[de:0.9999954379751672]'
'75.txt';'en';'[en:0.9999973606520087]'
'606.txt';'en';'[en:0.9999973403423303]'
'160.txt';'en';'[en:0.9999966981829939]'
'174.txt';'en';'[en:0.9999957155160061]'
'612.txt';'en';'[en:0.999997146542727]'
'148.txt';'en';'[en:0.9999959524867745]'
'362.txt';'en';'[en:0.9999976293108833]'
'404.txt';'en';'[en:0.9999941411270372]'
'410.txt';'en';'[en:0.9999962378305949]'
'376.txt';'en';'[en:0.9999974624324532]'
'438.txt';'en';'[en:0.9999972759754655]'
'439.txt';'en';'[en:0.9999951560463065]'
'411.txt';'en';'[en:0.9999969175455787]'
'377.txt';'en';'[en:0.9999974102444689]'
'363.txt';'de';'[de:0.999995680158136]'
'405.txt';'fr';'[fr:0.9999953484457512]'
'149.txt';'en';'[en:0.9999984725865481]'
'175.txt';'en';'[en:0.9999983229294049]'
'613.txt';'en';'[en:0.9999975070642932]'
'607.txt';'en';'[en:0.9999978010132464]'
'161.txt';'en';'[en:0.9999970381799894]'
'74.txt';'en';'[en:0.999996620694243]'
'48.txt';'en';'[en:0.9999965424089392]'
'559.txt';'en';'[en:0.9999981448121579]'
'565.txt';'en';'[en:0.9999976310352434]'
'203.txt';'en';'[en:0.9999968921393811]'
'217.txt';'en';'[en:0.999996469595269]'
'571.txt';'en';'[en:0.9999964177446978]'
'549.txt';'en';'[en:0.9999959214405252]'
'575.txt';'en';'[en:0.9999973440894014]'
'213.txt';'en';'[en:0.999998223349639]'
'207.txt';'de';'[de:0.9999949872704597]'
'561.txt';'en';'[en:0.9999977142178648]'
'64.txt';'en';'[en:0.9999978412989489]'
'70.txt';'de';'[de:0.999996531562375]'
'58.txt';'en';'[en:0.9999965517095658]'
'159.txt';'en';'[en:0.9999964885982282]'
'165.txt';'en';'[en:0.9999943712076866]'
'603.txt';-;-
'617.txt';'en';'[en:0.9999963121713837]'
'171.txt';'en';'[en:0.9999975589872824]'
'398.txt';'en';'[en:0.9999964222854155]'
'429.txt';'en';'[en:0.9999972031399773]'
'401.txt';'en';'[en:0.9999964221624067]'
'367.txt';'en';'[en:0.9999970368740889]'
'373.txt';'en';'[en:0.9999969273431097]'
'415.txt';'en';'[en:0.9999981391792923]'
'372.txt';'en';'[en:0.9999934471922668]'
'414.txt';'en';'[en:0.9999953631782488]'
'400.txt';'en';'[en:0.9999968577054299]'
'366.txt';'en';'[en:0.9999955005126402]'
'428.txt';'en';'[en:0.9999960768624212]'
'399.txt';'en';'[en:0.9999968473546504]'
'616.txt';'en';'[en:0.9999956463335129]'
'170.txt';'fr';'[fr:0.9999967872812792]'
'164.txt';'en';'[en:0.9999986971780671]'
'602.txt';-;-
'158.txt';'fr';'[fr:0.9999970277253425]'
'59.txt';'en';'[en:0.9999978747056502]'
'71.txt';'en';'[en:0.9999975717516992]'
'65.txt';'en';'[en:0.9999931931039248]'
'206.txt';'en';'[en:0.9999957840980263]'
'560.txt';'en';'[en:0.9999948433334476]'
'574.txt';'zh-cn';'[zh-cn:0.7142869637655593, ko:0.2857130291871354]'
'212.txt';'en';'[en:0.9999977819345913]'
'589.txt';'en';'[en:0.9999974092328388]'
'238.txt';'en';'[en:0.9999958888015358]'
'562.txt';'en';'[en:0.9999981412576867]'
'204.txt';'en';'[en:0.9999958379259318]'
'210.txt';'en';'[en:0.9999980387686864]'
'576.txt';'en';'[en:0.9999957724071606]'
'73.txt';'en';'[en:0.9999971547906346]'
'67.txt';'en';'[en:0.999997816368394]'
'199.txt';'en';'[en:0.9999975890821988]'
'9.txt';'en';'[en:0.9999979008292659]'
'628.txt';'en';'[en:0.9999960480598598]'
'172.txt';'en';'[en:0.9999971944788971]'
'614.txt';'en';'[en:0.9999975104122811]'
'600.txt';'en';'[en:0.9999949349155901]'
'98.txt';'en';'[en:0.9999961331482872]'
'166.txt';'en';'[en:0.9999955759588081]'
'358.txt';'en';'[en:0.9999966628116284]'
'416.txt';'en';'[en:0.9999960065281919]'
'370.txt';'en';'[en:0.9999964760942051]'
'364.txt';'en';'[en:0.9999978387728503]'
'402.txt';'en';'[en:0.9999982330522321]'
'365.txt';'en';'[en:0.9999960674648464]'
'403.txt';'en';'[en:0.9999965908310161]'
'417.txt';'en';'[en:0.9999975965564161]'
'371.txt';'en';'[en:0.999998611302137]'
'359.txt';'en';'[en:0.9999988284083041]'
'99.txt';'en';'[en:0.9999974778213937]'
'601.txt';-;-
'167.txt';'en';'[en:0.9999986083164132]'
'173.txt';'en';'[en:0.9999961700581728]'
'615.txt';'en';'[en:0.9999965478180861]'
'629.txt';'en';'[en:0.999996421973036]'
'8.txt';'en';'[en:0.9999971050141756]'
'66.txt';'en';'[en:0.9999960599188458]'
'198.txt';'en';'[en:0.9999967631311656]'
'72.txt';'en';'[en:0.9999961707163469]'
'211.txt';'en';'[en:0.999995075618048]'
'577.txt';'zh-cn';'[ko:0.5714284132783198, zh-cn:0.4285715823862146]'
'563.txt';'en';'[en:0.9999981574369963]'
'205.txt';'en';'[en:0.9999963578883497]'
'239.txt';'en';'[en:0.9999947976859886]'
'585.txt';'en';'[en:0.9999949190182671]'
'591.txt';'en';'[en:0.9999970848049022]'
'220.txt';'en';'[en:0.999996465399967]'
'552.txt';'en';'[en:0.9999951147484484]'
'234.txt';'en';'[en:0.9999967582166986]'
'208.txt';'en';'[en:0.9999948177172372]'
'195.txt';'de';'[de:0.9999975142467927]'
'181.txt';'en';'[en:0.9999985004869173]'
'57.txt';'en';'[en:0.9999977223926564]'
'5.txt';'en';'[en:0.9999976249578186]'
'43.txt';'en';'[en:0.9999957132772264]'
'630.txt';'en';'[en:0.999996498634169]'
'156.txt';'en';'[en:0.9999943335912138]'
'142.txt';'en';'[en:0.9999969608169536]'
'624.txt';'en';'[en:0.9999949061748326]'
'94.txt';'en';'[en:0.9999982189161987]'
'80.txt';'en';'[en:0.9999969467233629]'
'618.txt';'en';'[en:0.9999960615181023]'
'397.txt';'en';'[en:0.9999974447603204]'
'354.txt';'en';'[en:0.9999972424193339]'
'432.txt';'en';'[en:0.9999982681089904]'
'426.txt';'en';'[en:0.999998085187775]'
